Study	Conditions	Patient	Subtype	GEOStudy	GEOSamples	ArrayExpressExperiment	ArrayExpressSample	ENAExperiment	ENARun	SampleId	Reads	Link	Comments
R1.1.1	CCs	3	NA	GSE82071	GSM2183055	E-GEOD-82071	GSM2183055	SRX1810505	SRR3609566	SRR3609566	1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR360/006/SRR3609566/SRR3609566_1.fastq.gz	
R1.1.1	CCs	3	NA	GSE82071	GSM2183055	E-GEOD-82071	GSM2183055	SRX1810505	SRR3609566	SRR3609566	2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR360/006/SRR3609566/SRR3609566_2.fastq.gz	
R1.1.1	CCs	4	NA	GSE82071	GSM2183059	E-GEOD-82071	GSM2183059	SRX1810509	SRR3609570	SRR3609570	1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR360/000/SRR3609570/SRR3609570_1.fastq.gz	
R1.1.1	CCs	4	NA	GSE82071	GSM2183059	E-GEOD-82071	GSM2183059	SRX1810509	SRR3609570	SRR3609570	2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR360/000/SRR3609570/SRR3609570_2.fastq.gz	
R1.1.1	CSCs	3	NA	GSE82071	GSM2183054	E-GEOD-82071	GSM2183054	SRX1810504	SRR3609565	SRR3609565	1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR360/005/SRR3609565/SRR3609565_1.fastq.gz	
R1.1.1	CSCs	3	NA	GSE82071	GSM2183054	E-GEOD-82071	GSM2183054	SRX1810504	SRR3609565	SRR3609565	2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR360/005/SRR3609565/SRR3609565_2.fastq.gz	
R1.1.1	CSCs	4	NA	GSE82071	GSM2183058	E-GEOD-82071	GSM2183058	SRX1810508	SRR3609569	SRR3609569	1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR360/009/SRR3609569/SRR3609569_1.fastq.gz	
R1.1.1	CSCs	4	NA	GSE82071	GSM2183058	E-GEOD-82071	GSM2183058	SRX1810508	SRR3609569	SRR3609569	2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR360/009/SRR3609569/SRR3609569_2.fastq.gz	
R1.1.1	NCs	3	NA	GSE82071	GSM2183053	E-GEOD-82071	GSM2183053	SRX1810503	SRR3609564	SRR3609564	1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR360/004/SRR3609564/SRR3609564_1.fastq.gz	
R1.1.1	NCs	3	NA	GSE82071	GSM2183053	E-GEOD-82071	GSM2183053	SRX1810503	SRR3609564	SRR3609564	2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR360/004/SRR3609564/SRR3609564_2.fastq.gz	
R1.1.1	NCs	4	NA	GSE82071	GSM2183057	E-GEOD-82071	GSM2183057	SRX1810507	SRR3609568	SRR3609568	1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR360/008/SRR3609568/SRR3609568_1.fastq.gz	
R1.1.1	NCs	4	NA	GSE82071	GSM2183057	E-GEOD-82071	GSM2183057	SRX1810507	SRR3609568	SRR3609568	2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR360/008/SRR3609568/SRR3609568_2.fastq.gz	
R1.1.1	SCs	3	NA	GSE82071	GSM2183052	E-GEOD-82071	GSM2183052	SRX1810502	SRR3609563	SRR3609563	1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR360/003/SRR3609563/SRR3609563_1.fastq.gz	
R1.1.1	SCs	3	NA	GSE82071	GSM2183052	E-GEOD-82071	GSM2183052	SRX1810502	SRR3609563	SRR3609563	2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR360/003/SRR3609563/SRR3609563_2.fastq.gz	
R1.1.1	SCs	4	NA	GSE82071	GSM2183056	E-GEOD-82071	GSM2183056	SRX1810506	SRR3609567	SRR3609567	1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR360/007/SRR3609567/SRR3609567_1.fastq.gz	
R1.1.1	SCs	4	NA	GSE82071	GSM2183056	E-GEOD-82071	GSM2183056	SRX1810506	SRR3609567	SRR3609567	2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR360/007/SRR3609567/SRR3609567_2.fastq.gz	
R1.9.5.PC3	CCs	NA	NA	GSE134428	GSM3946402	NA	NA	SRX6457383	SRR9699304	SRR9699304	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR969/004/SRR9699304/SRR9699304.fastq.gz	
